Dataset,Setting,Model,Algorithm,ModelCategory,Goal,RunIndex,Acc,BestAccRoundIndex,AUC Macro,AUC Micro,Precision,Recall,F1,FNR,FPR,InferenceLatencyMs,CommPerRound,CommCumulative,MeanModelParams,MeanModelSizeBytes,MeanFLOPs,RecordedRounds,ResultFile
IoT,standard,IoT_CNN1D,FedAvg,CNN1D,test,0,0.8936,769,0.995784,0.995454,0.614978,0.584653,0.595766,0.0,0.0,0.06805,3220440.0,2798562360.0,161022.0,644088.0,216207.0,870,CNN1D/FedAvg/metrics/IoT_FedAvg_IoT_CNN1D_test_0.h5
IoT,standard,IoT_CNN1D,FedProto,CNN1D,test,0,0.944,525,0.99212,0.992802,0.947778,0.944,0.943591,0.0,0.13,0.071548,51200.0,32051200.0,161022.0,644088.0,216207.0,626,CNN1D/FedProto/metrics/IoT_FedProto_IoT_CNN1D_test_0.h5
IoT,standard,IoT_CNN1D,Local,CNN1D,test,0,0.9416,589,0.99146,0.992687,0.945672,0.9416,0.941155,0.0,0.134,0.067539,0.0,0.0,161022.0,644088.0,216207.0,690,CNN1D/Local/metrics/IoT_Local_IoT_CNN1D_test_0.h5
IoT,standard,IoT_MLP,FedAvg,MLP,test,0,0.868,968,0.991744,0.991527,0.572194,0.539741,0.552969,0.0,0.0,0.037158,1828440.0,1828440000.0,91422.0,365688.0,83727.0,1001,MLP/FedAvg/metrics/IoT_FedAvg_IoT_MLP_test_0.h5
IoT,standard,IoT_MLP,FedProto,MLP,test,0,0.9412,979,0.99176,0.992432,0.944845,0.9412,0.940428,0.0,0.142,0.036362,51200.0,51200000.0,91422.0,365688.0,83727.0,1000,MLP/FedProto/metrics/IoT_FedProto_IoT_MLP_test_0.h5
IoT,standard,IoT_MLP,Local,MLP,test,0,0.9392,786,0.991744,0.992273,0.943926,0.9392,0.938437,0.0,0.148,0.037206,0.0,0.0,91422.0,365688.0,83727.0,887,MLP/Local/metrics/IoT_Local_IoT_MLP_test_0.h5
IoT,standard,IoT_Transformer1D,FedAvg,Transformer,test,0,0.8724,740,0.992248,0.991986,0.599205,0.563402,0.578182,0.0,0.0,0.140191,3076440.0,2584209600.0,153822.0,615288.0,5146383.0,841,Transformer/FedAvg/metrics/IoT_FedAvg_IoT_Transformer1D_test_0.h5
IoT,standard,IoT_Transformer1D,FedProto,Transformer,test,0,0.9292,948,0.987756,0.989189,0.933006,0.9292,0.928313,0.011,0.144,0.14051,51200.0,51200000.0,153822.0,615288.0,5146383.0,1000,Transformer/FedProto/metrics/IoT_FedProto_IoT_Transformer1D_test_0.h5
IoT,standard,IoT_Transformer1D,Local,Transformer,test,0,0.9292,795,0.985728,0.98709,0.933472,0.9292,0.928018,0.0,0.148,0.139739,0.0,0.0,153822.0,615288.0,5146383.0,896,Transformer/Local/metrics/IoT_Local_IoT_Transformer1D_test_0.h5
IoT,standard,IoT_MIX_MLP_CNN1D,FedProto,heterogeneous_models,test,0,0.9416,731,0.992064,0.992642,0.945584,0.9416,0.941107,0.0,0.126,0.054128,51200.0,42598400.0,126222.0,504888.0,149967.0,832,heterogeneous_models/FedProto/metrics/IoT_FedProto_IoT_MIX_MLP_CNN1D_test_0.h5
